impact_trading_day,post_count,smoothed,spike_presence,spike_intensity,loess_upper
2024-06-04,1,0.6733832177852945,0,0.0,3.642277957196474
2024-06-05,1,1.1096858638865126,0,0.0,4.078580603297692
2024-06-07,1,1.559878329931299,0,0.0,4.528773069342479
2024-06-10,4,2.027008431341353,0,0.0,4.995903170752532
2024-06-11,1,2.5186497770766203,0,0.0,5.4875445164878
2024-06-12,2,3.0311744218445376,0,0.0,6.000069161255717
2024-06-13,4,3.3611100408111487,0,0.0,6.330004780222328
2024-06-14,5,3.4763378949049875,0,0.0,6.4452326343161666
2024-06-17,6,3.6005727367884712,0,0.0,6.569467476199651
2024-06-21,1,3.5551181765931186,0,0.0,6.524012916004298
2024-06-25,3,3.218820933475771,0,0.0,6.1877156728869505
2024-06-26,4,2.7848478348824894,0,0.0,5.753742574293669
2024-06-27,2,2.4891322523882975,0,0.0,5.458026991799477
2024-06-28,1,2.2837451542329834,0,0.0,5.252639893644163
2024-07-01,3,2.077043005989289,0,0.0,5.045937745400469
2024-07-02,2,1.9672020781512167,0,0.0,4.9360968175623965
2024-07-03,1,1.9260753554019419,0,0.0,4.894970094813122
2024-07-05,2,1.859947110566334,0,0.0,4.828841849977514
2024-07-08,3,1.8538352944590688,0,0.0,4.822730033870249
2024-07-09,1,1.9439693957246171,0,0.0,4.912864135135797
2024-07-10,1,1.9924399060464784,0,0.0,4.961334645457658
2024-07-11,4,1.9043403078299181,0,0.0,4.8732350472410975
2024-07-12,2,1.7819239560462687,0,0.0,4.750818695457449
2024-07-15,2,1.6895811514637091,0,0.0,4.658475890874889
2024-07-18,1,1.5183955321915912,0,0.0,4.48729027160277
2024-07-23,1,1.291443346927678,0,0.0,4.260338086338858
2024-07-24,1,1.183585915279259,0,0.0,4.1524806546904385
2024-07-25,1,1.156890586017733,0,0.0,4.125785325428913
2024-07-30,1,1.1827117037243198,0,0.0,4.151606443135499
2024-08-02,2,1.24887629619594,0,0.0,4.21777103560712
2024-08-06,1,1.3020878482899512,0,0.0,4.2709825877011305
2024-08-07,1,1.3225131821268543,0,0.0,4.291407921538034
2024-08-08,2,1.3328055932626013,0,0.0,4.30170033267378
2024-08-09,1,1.3265332615882006,0,0.0,4.29542800099938
2024-08-15,1,1.3479850864328784,0,0.0,4.316879825844058
2024-08-16,2,1.4723895945831118,0,0.0,4.441284333994291
2024-08-19,1,1.7175271801714236,0,0.0,4.686421919582603
2024-08-22,1,1.9414991080194173,0,0.0,4.910393847430597
2024-08-23,3,2.0561288549018637,0,0.0,5.025023594313043
2024-08-26,4,2.1702802279672007,0,0.0,5.139174967378381
2024-08-29,2,2.296998500475736,0,0.0,5.265893239886916
2024-08-30,1,2.2910745265544414,0,0.0,5.259969265965621
2024-09-03,3,2.076294502681639,0,0.0,5.045189242092818
2024-09-05,2,1.84741460932378,0,0.0,4.8163093487349595
2024-09-09,2,1.7340628473961666,0,0.0,4.702957586807346
2024-09-11,1,1.6171718342946464,0,0.0,4.586066573705826
2024-09-13,1,1.4312297613173421,0,0.0,4.400124500728522
2024-09-16,2,1.2934565866840573,0,0.0,4.262351326095237
2024-09-17,1,1.2671238622620797,0,0.0,4.236018601673259
2024-09-18,1,1.298267576597451,0,0.0,4.267162316008631
2024-09-23,1,1.3516583580499635,0,0.0,4.3205530974611435
2024-09-24,2,1.4174866471713017,0,0.0,4.386381386582482
2024-09-25,1,1.521121742935107,0,0.0,4.490016482346286
2024-09-27,2,1.669555615132088,0,0.0,4.638450354543267
2024-09-30,2,1.8078531971080456,0,0.0,4.776747936519225
2024-10-02,1,1.8879959257346182,0,0.0,4.856890665145798
2024-10-03,3,1.8809447942200312,0,0.0,4.849839533631211
2024-10-04,2,1.8104405420662444,0,0.0,4.779335281477424
2024-10-07,2,1.7875152966797916,0,0.0,4.756410036090971
2024-10-08,1,1.9025431932161014,0,0.0,4.8714379326272805
2024-10-10,1,1.9947634838855848,0,0.0,4.963658223296765
2024-10-11,6,2.058171689999097,1,0.9729335705897233,5.027066429410277
2024-10-15,6,2.2456788688409004,1,0.7854263917479205,5.2145736082520795
2024-10-16,2,2.502926634446202,0,0.0,5.471821373857381
2024-10-17,2,2.654072615245314,0,0.0,5.6229673546564936
2024-10-18,4,2.566356498429922,0,0.0,5.535251237841102
2024-10-21,2,2.577270422754116,0,0.0,5.546165162165296
2024-10-22,2,2.560987791528352,0,0.0,5.529882530939531
2024-10-23,3,2.4990170446343902,0,0.0,5.46791178404557
2024-10-24,6,2.4412828012010377,1,0.5898224593877828,5.410177540612217
2024-10-25,1,2.4454268236486842,0,0.0,5.414321563059864
2024-10-28,3,2.3578572511458558,0,0.0,5.326751990557035
2024-10-29,2,2.147553040072568,0,0.0,5.116447779483748
2024-10-30,3,2.002100772515189,0,0.0,4.970995511926368
2024-11-01,1,2.0548615941433708,0,0.0,5.02375633355455
2024-11-04,1,2.128313081369258,0,0.0,5.097207820780437
2024-11-07,2,2.123334175477647,0,0.0,5.0922289148888265
2024-11-08,4,2.140037011885083,0,0.0,5.108931751296263
2024-11-12,3,2.2764459865566833,0,0.0,5.245340725967862
2024-11-13,1,2.3716289158202923,0,0.0,5.340523655231472
2024-11-15,2,2.2833763128365394,0,0.0,5.252271052247719
2024-11-18,3,2.092888986435487,0,0.0,5.0617837258466665
2024-11-19,2,2.0048225864070104,0,0.0,4.97371732581819
2024-11-20,2,1.9166481295611923,0,0.0,4.885542868972372
2024-11-22,1,1.7592721805166947,0,0.0,4.728166919927874
2024-11-25,5,1.6051370298835352,1,0.4259682307052852,4.574031769294715
2024-11-27,1,1.529687307618988,0,0.0,4.498582047030167
2024-12-02,1,1.5406028221369423,0,0.0,4.509497561548121
2024-12-03,2,1.589886837692471,0,0.0,4.558781577103651
2024-12-04,1,1.7090255514035528,0,0.0,4.677920290814733
2024-12-05,3,1.8894522148462132,0,0.0,4.858346954257392
2024-12-06,1,2.062953059968751,0,0.0,5.03184779937993
2024-12-09,3,2.1266991322758653,0,0.0,5.095593871687045
2024-12-10,2,2.1567435658835836,0,0.0,5.125638305294763
2024-12-11,3,2.210802746589964,0,0.0,5.179697486001143
2024-12-12,1,2.2400813401101027,0,0.0,5.208976079521282
2024-12-13,2,2.1340329095773267,0,0.0,5.102927648988507
2024-12-16,5,2.02647818757373,1,0.004627073015090133,4.99537292698491
2024-12-17,2,1.9879865242998085,0,0.0,4.956881263710988
2024-12-19,1,1.9806078010692005,0,0.0,4.94950254048038
2024-12-20,2,1.8614308917786078,0,0.0,4.830325631189787
2024-12-23,2,1.7119743941088506,0,0.0,4.68086913352003
2024-12-27,2,1.6670864062088013,0,0.0,4.635981145619981
2024-12-31,1,1.7450383109438166,0,0.0,4.713933050354996
2025-01-02,6,1.7816163907752356,1,1.249488869813585,4.750511130186415
2025-01-03,1,1.7524514054622522,0,0.0,4.721346144873432
2025-01-06,3,1.7724087284284755,0,0.0,4.741303467839655
2025-01-07,2,1.9003970308250344,0,0.0,4.869291770236214
2025-01-08,1,1.9967453776781736,0,0.0,4.965640117089353
2025-01-10,2,1.955206673626724,0,0.0,4.924101413037904
2025-01-13,3,1.8492592099748146,0,0.0,4.818153949385994
2025-01-14,2,1.9010399098342643,0,0.0,4.869934649245444
2025-01-15,1,2.07988497842213,0,0.0,5.048779717833309
2025-01-16,1,2.1744488285222285,0,0.0,5.1433435679334085
2025-01-17,3,2.212093896516988,0,0.0,5.180988635928168
2025-01-21,4,2.3894432345060834,0,0.0,5.358337973917263
2025-01-24,2,2.7112659911163584,0,0.0,5.680160730527538
2025-01-27,2,2.9594257296451714,0,0.0,5.9283204690563505
2025-01-28,3,3.0428433325979607,0,0.0,6.01173807200914
2025-01-29,5,2.969918230636815,0,0.0,5.938812970047994
2025-01-30,3,2.805492104374474,0,0.0,5.774386843785654
2025-02-03,4,2.5510971354269723,0,0.0,5.519991874838151
2025-02-04,1,2.248485291201992,0,0.0,5.217380030613171
2025-02-05,1,1.9831989950408824,0,0.0,4.9520937344520615
2025-02-06,1,1.8521176669049402,0,0.0,4.82101240631612
2025-02-07,2,1.8761349587347167,0,0.0,4.845029698145896
2025-02-10,3,2.032860955136853,0,0.0,5.001755694548033
2025-02-11,2,2.251287487409425,0,0.0,5.220182226820604
2025-02-12,3,2.483995406536404,0,0.0,5.452890145947583
2025-02-13,1,2.6348059675061437,0,0.0,5.603700706917323
2025-02-14,3,2.6599929348992677,0,0.0,5.628887674310447
2025-02-18,6,2.6632020727709627,1,0.36790318781785736,5.632096812182143
2025-02-19,3,2.6227922020675973,0,0.0,5.591686941478777
2025-02-21,2,2.5239358615714287,0,0.0,5.492830600982608
2025-02-24,3,2.2408802408012103,0,0.0,5.20977498021239
2025-02-25,1,1.8987490986778433,0,0.0,4.867643838089023
2025-02-26,2,1.690845946073167,0,0.0,4.659740685484347
2025-02-27,1,1.6077233978500953,0,0.0,4.576618137261275
2025-02-28,1,1.626289481912287,0,0.0,4.595184221323467
2025-03-03,2,1.7709964752478016,0,0.0,4.739891214658981
2025-03-05,2,1.8650624318436613,0,0.0,4.833957171254841
2025-03-06,2,1.858603991211678,0,0.0,4.827498730622858
2025-03-10,4,1.7923135075705054,0,0.0,4.761208246981685
2025-03-11,1,1.7052092310481157,0,0.0,4.674103970459296
2025-03-12,1,1.5982624183504206,0,0.0,4.5671571577616
2025-03-13,1,1.5171631463202908,0,0.0,4.48605788573147
2025-03-14,2,1.4988672180515275,0,0.0,4.467761957462707
2025-03-17,1,1.591921481729914,0,0.0,4.560816221141094
2025-03-18,3,1.7431729699079925,0,0.0,4.712067709319172
2025-03-19,1,1.9169521753649033,0,0.0,4.885846914776083
2025-03-20,2,1.9685727126826427,0,0.0,4.937467452093822
2025-03-21,2,1.9123547300657244,0,0.0,4.881249469476904
2025-03-24,4,1.8528274709261374,0,0.0,4.821722210337317
2025-03-27,1,1.8451816564813475,0,0.0,4.814076395892527
2025-03-28,1,1.7709187704674927,0,0.0,4.7398135098786724
2025-03-31,2,1.6406585212766103,0,0.0,4.60955326068779
2025-04-02,2,1.5520633026716688,0,0.0,4.520958042082849
2025-04-04,1,1.5655503429111173,0,0.0,4.534445082322296
2025-04-07,2,1.5400467503383024,0,0.0,4.508941489749482
2025-04-08,1,1.4603021096752282,0,0.0,4.4291968490864075
2025-04-09,2,1.4172520523457026,0,0.0,4.386146791756882
2025-04-10,1,1.4142169286600912,0,0.0,4.383111668071271
2025-04-11,1,1.4548495621818778,0,0.0,4.423744301593057
2025-04-14,2,1.6033875279478638,0,0.0,4.572282267359043
2025-04-16,1,1.8072062300545817,0,0.0,4.7761009694657615
2025-04-17,2,1.9546224690717766,0,0.0,4.923517208482956
2025-04-21,3,2.0146764297689606,0,0.0,4.98357116918014
2025-04-22,3,2.021987023736453,0,0.0,4.990881763147632
2025-04-23,1,2.0521013528474406,0,0.0,5.0209960922586205
2025-04-24,2,2.0021863731949523,0,0.0,4.971081112606132
2025-04-25,1,1.8677110545823519,0,0.0,4.836605793993531
2025-04-28,3,1.7934811115706566,0,0.0,4.762375850981837
2025-04-29,2,1.8319176887918087,0,0.0,4.800812428202988
2025-05-01,1,1.8808062368721947,0,0.0,4.8497009762833745
2025-05-05,2,1.9134616787702403,0,0.0,4.88235641818142
2025-05-07,2,2.0036138227548244,0,0.0,4.972508562166004
2025-05-08,2,2.2775617704120767,0,0.0,5.246456509823256
2025-05-09,2,2.6569842053739494,0,0.0,5.6258789447851285
2025-05-12,3,2.88023734728718,0,0.0,5.84913208669836
2025-05-13,4,2.9816189620871953,0,0.0,5.950513701498375
2025-05-14,5,3.0740071704117167,0,0.0,6.042901909822897
2025-05-16,2,3.0277194647733747,0,0.0,5.996614204184555
2025-05-19,2,2.7418015925867127,0,0.0,5.710696331997893
2025-05-20,5,2.29752810082698,0,0.0,5.266422840238159
2025-05-21,2,1.958203045692264,0,0.0,4.927097785103443
2025-05-22,1,1.886135149864064,0,0.0,4.855029889275244
2025-05-23,1,1.8038451942863416,0,0.0,4.772739933697521
2025-05-27,7,1.7511970897857487,1,2.279908170803072,4.720091829196928
2025-05-28,3,1.937364520496017,0,0.0,4.906259259907197
2025-05-30,1,2.2658343203236595,0,0.0,5.234729059734839
2025-06-02,2,2.406692197411835,0,0.0,5.375586936823014
2025-06-04,5,2.3774628352787546,0,0.0,5.346357574689934
2025-06-05,13,2.445421134529992,1,7.585684126058828,5.414315873941172
2025-06-06,2,2.6819252264840623,0,0.0,5.650819965895241
2025-06-09,2,2.7215979308340024,0,0.0,5.690492670245182
2025-06-10,9,2.5952732561180776,1,3.4358320044707433,5.564167995529257
2025-06-11,5,2.65537257793193,0,0.0,5.62426731734311
2025-06-12,2,2.7490326537545413,0,0.0,5.717927393165721
2025-06-13,2,2.703902325374291,0,0.0,5.67279706478547
2025-06-16,6,2.6179268079873483,1,0.4131784526014721,5.586821547398528
2025-06-17,2,2.7642562890117377,0,0.0,5.733151028422917
2025-06-18,1,2.839327898326474,0,0.0,5.808222637737654
2025-06-20,6,2.806495206346957,1,0.22461005424186364,5.775389945758136
2025-06-23,5,2.7540731453555805,0,0.0,5.72296788476676
2025-06-24,1,2.899737248059531,0,0.0,5.86863198747071
2025-06-25,3,3.0414006473022397,0,0.0,6.01029538671342
2025-06-26,1,3.0422574702620437,0,0.0,6.011152209673224
2025-06-30,4,3.147100144524867,0,0.0,6.115994883936047
2025-07-01,6,3.3643748160861215,0,0.0,6.333269555497301
2025-07-02,1,3.448178291672385,0,0.0,6.417073031083564
2025-07-03,4,3.3572482827243593,0,0.0,6.326143022135539
2025-07-07,7,3.001129544645942,1,1.0299757159428786,5.970024284057121
2025-07-09,2,2.5595274199261526,0,0.0,5.528422159337332
2025-07-10,6,2.188545233197486,1,0.8425600273913343,5.157439972608666
2025-07-11,1,1.8607930856100325,0,0.0,4.829687825021212
2025-07-14,1,1.7704860399868574,0,0.0,4.7393807793980365
2025-07-15,1,2.2591186158288434,0,0.0,5.228013355240023
2025-07-16,2,2.876912915098573,0,0.0,5.845807654509752
2025-07-17,4,3.558536796207817,0,0.0,6.527431535618996
2025-07-18,4,4.29555729927565,0,0.0,7.26445203868683
2025-07-21,6,5.081006045908822,0,0.0,8.049900785320002
